"week","oblast_name","week_number","count","intensity"
2022-06-13,"Autonomous Republic of Crimea",17,0,0
2022-06-13,"Cherkaska",17,0,0
2022-06-13,"Chernihivska",17,0,0
2022-06-13,"Chernivetska",17,0,0
2022-06-13,"Dnipropetrovska",17,0,0
2022-06-13,"Donetska",17,2,0.253485424588086
2022-06-13,"Ivano-Frankivska",17,0,0
2022-06-13,"Kharkivska",17,9,1.14068441064639
2022-06-13,"Khersonska",17,3,0.380228136882129
2022-06-13,"Khmelnytska",17,0,0
2022-06-13,"Kirovohradska",17,0,0
2022-06-13,"Kyiv",17,0,0
2022-06-13,"Kyivska",17,0,0
2022-06-13,"Luhanska",17,163,20.659062103929
2022-06-13,"Lvivska",17,0,0
2022-06-13,"Mykolaivska",17,4,0.506970849176172
2022-06-13,"Odeska",17,0,0
2022-06-13,"Poltavska",17,0,0
2022-06-13,"Rivnenska",17,0,0
2022-06-13,"Sevastopol",17,0,0
2022-06-13,"Sumska",17,0,0
2022-06-13,"Ternopilska",17,0,0
2022-06-13,"Vinnytska",17,0,0
2022-06-13,"Volynska",17,0,0
2022-06-13,"Zakarpatska",17,0,0
2022-06-13,"Zaporizka",17,0,0
2022-06-13,"Zhytomyrska",17,0,0
2022-06-20,"Autonomous Republic of Crimea",18,0,0
2022-06-20,"Cherkaska",18,0,0
2022-06-20,"Chernihivska",18,0,0
2022-06-20,"Chernivetska",18,0,0
2022-06-20,"Dnipropetrovska",18,0,0
2022-06-20,"Donetska",18,17,2.15462610899873
2022-06-20,"Ivano-Frankivska",18,0,0
2022-06-20,"Kharkivska",18,43,5.44993662864385
2022-06-20,"Khersonska",18,3,0.380228136882129
2022-06-20,"Khmelnytska",18,0,0
2022-06-20,"Kirovohradska",18,0,0
2022-06-20,"Kyiv",18,0,0
2022-06-20,"Kyivska",18,0,0
2022-06-20,"Luhanska",18,256,32.446134347275
2022-06-20,"Lvivska",18,0,0
2022-06-20,"Mykolaivska",18,18,2.28136882129278
2022-06-20,"Odeska",18,0,0
2022-06-20,"Poltavska",18,0,0
2022-06-20,"Rivnenska",18,0,0
2022-06-20,"Sevastopol",18,0,0
2022-06-20,"Sumska",18,0,0
2022-06-20,"Ternopilska",18,0,0
2022-06-20,"Vinnytska",18,0,0
2022-06-20,"Volynska",18,0,0
2022-06-20,"Zakarpatska",18,0,0
2022-06-20,"Zaporizka",18,0,0
2022-06-20,"Zhytomyrska",18,0,0
2022-06-27,"Autonomous Republic of Crimea",19,0,0
2022-06-27,"Cherkaska",19,0,0
2022-06-27,"Chernihivska",19,0,0
2022-06-27,"Chernivetska",19,0,0
2022-06-27,"Dnipropetrovska",19,1,0.126742712294043
2022-06-27,"Donetska",19,17,2.15462610899873
2022-06-27,"Ivano-Frankivska",19,0,0
2022-06-27,"Kharkivska",19,229,29.0240811153359
2022-06-27,"Khersonska",19,39,4.94296577946768
2022-06-27,"Khmelnytska",19,0,0
2022-06-27,"Kirovohradska",19,0,0
2022-06-27,"Kyiv",19,0,0
2022-06-27,"Kyivska",19,0,0
2022-06-27,"Luhanska",19,302,38.276299112801
2022-06-27,"Lvivska",19,0,0
2022-06-27,"Mykolaivska",19,66,8.36501901140684
2022-06-27,"Odeska",19,0,0
2022-06-27,"Poltavska",19,0,0
2022-06-27,"Rivnenska",19,0,0
2022-06-27,"Sevastopol",19,0,0
2022-06-27,"Sumska",19,0,0
2022-06-27,"Ternopilska",19,0,0
2022-06-27,"Vinnytska",19,0,0
2022-06-27,"Volynska",19,0,0
2022-06-27,"Zakarpatska",19,0,0
2022-06-27,"Zaporizka",19,33,4.18250950570342
2022-06-27,"Zhytomyrska",19,0,0
2022-07-04,"Autonomous Republic of Crimea",20,0,0
2022-07-04,"Cherkaska",20,0,0
2022-07-04,"Chernihivska",20,0,0
2022-07-04,"Chernivetska",20,0,0
2022-07-04,"Dnipropetrovska",20,18,2.28136882129278
2022-07-04,"Donetska",20,499,63.2446134347275
2022-07-04,"Ivano-Frankivska",20,0,0
2022-07-04,"Kharkivska",20,310,39.2902408111534
2022-07-04,"Khersonska",20,254,32.1926489226869
2022-07-04,"Khmelnytska",20,0,0
2022-07-04,"Kirovohradska",20,0,0
2022-07-04,"Kyiv",20,0,0
2022-07-04,"Kyivska",20,15,1.90114068441065
2022-07-04,"Luhanska",20,191,24.2078580481622
2022-07-04,"Lvivska",20,0,0
2022-07-04,"Mykolaivska",20,170,21.5462610899873
2022-07-04,"Odeska",20,0,0
2022-07-04,"Poltavska",20,0,0
2022-07-04,"Rivnenska",20,0,0
2022-07-04,"Sevastopol",20,0,0
2022-07-04,"Sumska",20,0,0
2022-07-04,"Ternopilska",20,0,0
2022-07-04,"Vinnytska",20,0,0
2022-07-04,"Volynska",20,0,0
2022-07-04,"Zakarpatska",20,0,0
2022-07-04,"Zaporizka",20,69,8.74524714828897
2022-07-04,"Zhytomyrska",20,0,0
2022-07-11,"Autonomous Republic of Crimea",21,0,0
2022-07-11,"Cherkaska",21,0,0
2022-07-11,"Chernihivska",21,0,0
2022-07-11,"Chernivetska",21,0,0
2022-07-11,"Dnipropetrovska",21,0,0
2022-07-11,"Donetska",21,188,23.8276299112801
2022-07-11,"Ivano-Frankivska",21,0,0
2022-07-11,"Kharkivska",21,9,1.14068441064639
2022-07-11,"Khersonska",21,126,15.9695817490494
2022-07-11,"Khmelnytska",21,0,0
2022-07-11,"Kirovohradska",21,0,0
2022-07-11,"Kyiv",21,0,0
2022-07-11,"Kyivska",21,1,0.126742712294043
2022-07-11,"Luhanska",21,74,9.37896070975919
2022-07-11,"Lvivska",21,0,0
2022-07-11,"Mykolaivska",21,92,11.660329531052
2022-07-11,"Odeska",21,0,0
2022-07-11,"Poltavska",21,0,0
2022-07-11,"Rivnenska",21,0,0
2022-07-11,"Sevastopol",21,0,0
2022-07-11,"Sumska",21,0,0
2022-07-11,"Ternopilska",21,0,0
2022-07-11,"Vinnytska",21,0,0
2022-07-11,"Volynska",21,0,0
2022-07-11,"Zakarpatska",21,0,0
2022-07-11,"Zaporizka",21,21,2.6615969581749
2022-07-11,"Zhytomyrska",21,0,0
2022-07-18,"Autonomous Republic of Crimea",22,0,0
2022-07-18,"Cherkaska",22,0,0
2022-07-18,"Chernihivska",22,0,0
2022-07-18,"Chernivetska",22,0,0
2022-07-18,"Dnipropetrovska",22,9,1.14068441064639
2022-07-18,"Donetska",22,18,2.28136882129278
2022-07-18,"Ivano-Frankivska",22,0,0
2022-07-18,"Kharkivska",22,11,1.39416983523447
2022-07-18,"Khersonska",22,233,29.531051964512
2022-07-18,"Khmelnytska",22,0,0
2022-07-18,"Kirovohradska",22,0,0
2022-07-18,"Kyiv",22,0,0
2022-07-18,"Kyivska",22,9,1.14068441064639
2022-07-18,"Luhanska",22,37,4.68948035487959
2022-07-18,"Lvivska",22,0,0
2022-07-18,"Mykolaivska",22,145,18.3776932826362
2022-07-18,"Odeska",22,28,3.54879594423321
2022-07-18,"Poltavska",22,0,0
2022-07-18,"Rivnenska",22,0,0
2022-07-18,"Sevastopol",22,0,0
2022-07-18,"Sumska",22,0,0
2022-07-18,"Ternopilska",22,0,0
2022-07-18,"Vinnytska",22,0,0
2022-07-18,"Volynska",22,0,0
2022-07-18,"Zakarpatska",22,0,0
2022-07-18,"Zaporizka",22,108,13.6882129277567
2022-07-18,"Zhytomyrska",22,0,0
2022-07-25,"Autonomous Republic of Crimea",23,5,0.633713561470215
2022-07-25,"Cherkaska",23,0,0
2022-07-25,"Chernihivska",23,0,0
2022-07-25,"Chernivetska",23,0,0
2022-07-25,"Dnipropetrovska",23,18,2.28136882129278
2022-07-25,"Donetska",23,88,11.1533586818758
2022-07-25,"Ivano-Frankivska",23,0,0
2022-07-25,"Kharkivska",23,13,1.64765525982256
2022-07-25,"Khersonska",23,354,44.8669201520913
2022-07-25,"Khmelnytska",23,0,0
2022-07-25,"Kirovohradska",23,0,0
2022-07-25,"Kyiv",23,0,0
2022-07-25,"Kyivska",23,8,1.01394169835234
